clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,dissimilarity_index,scenario
27,0.5098039215686274,1.1625,0.1722172619047619,0.5135135135135135,0,4,62,0.25,llm_baseline
27,0.5066666666666667,1.1625,0.1844345238095238,0.4907407407407407,3,4,63,0.2499999999999999,llm_baseline
28,0.4934210526315789,1.1625,0.1939732142857143,0.5114155251141552,2,4,64,0.35,llm_baseline
23,0.4,1.25,0.2084672619047619,0.5424528301886793,4,4,65,0.2749999999999999,llm_baseline
27,0.5472972972972973,1.1625,0.1601636904761904,0.5045871559633027,5,4,66,0.25,llm_baseline
29,0.4931506849315068,1.175,0.1370535714285714,0.5069124423963134,1,4,67,0.15,llm_baseline
30,0.4473684210526316,1.175,0.1764434523809523,0.4954545454545455,4,4,68,0.275,llm_baseline
20,0.5666666666666667,1.2,0.1788541666666666,0.5454545454545454,6,4,69,0.2249999999999999,llm_baseline
28,0.4864864864864865,1.175,0.1829166666666666,0.5185185185185185,4,4,70,0.325,llm_baseline
24,0.4722222222222222,1.25,0.1985119047619047,0.5497630331753555,6,4,71,0.4249999999999999,llm_baseline
30,0.4671052631578947,1.1375,0.1540029761904761,0.4796380090497738,2,4,72,0.25,llm_baseline
36,0.4407894736842105,1.15,0.164672619047619,0.5045454545454545,1,4,73,0.225,llm_baseline
24,0.506578947368421,1.2,0.187797619047619,0.4660633484162896,6,4,74,0.325,llm_baseline
24,0.5324675324675324,1.175,0.177797619047619,0.5155555555555555,3,4,75,0.2499999999999999,llm_baseline
24,0.527027027027027,1.175,0.1526934523809524,0.5117370892018779,3,4,76,0.1999999999999999,llm_baseline
21,0.5131578947368421,1.175,0.1860863095238095,0.4841628959276018,4,4,77,0.3,llm_baseline
26,0.5,1.125,0.1794196428571428,0.4428571428571428,1,4,78,0.2499999999999999,llm_baseline
37,0.5205479452054794,1.1,0.1766369047619047,0.4700460829493088,2,4,79,0.1999999999999999,llm_baseline
33,0.5066666666666667,1.1,0.1644345238095238,0.456221198156682,2,4,80,0.2749999999999999,llm_baseline
28,0.5620915032679739,1.1375,0.1499404761904761,0.4639639639639639,1,4,81,0.175,llm_baseline
25,0.4761904761904761,1.1875,0.1816815476190476,0.5231481481481481,6,3,82,0.2249999999999999,llm_baseline
35,0.4266666666666667,1.0875,0.1615178571428571,0.4541284403669725,0,3,83,0.125,llm_baseline
29,0.5333333333333333,1.1625,0.1506398809523809,0.5022421524663677,4,3,84,0.1749999999999999,llm_baseline
37,0.4305555555555556,1.1375,0.1529315476190476,0.4567307692307692,1,3,85,0.2499999999999999,llm_baseline
25,0.525974025974026,1.2375,0.1819940476190476,0.5291479820627802,5,4,0,0.35,ethnic_asian_hispanic
40,0.4791666666666667,1.1,0.1523363095238095,0.4418604651162791,0,4,1,0.175,ethnic_asian_hispanic
28,0.5655172413793104,1.15,0.1784523809523809,0.4626168224299065,4,4,2,0.275,ethnic_asian_hispanic
27,0.5379746835443038,1.1625,0.1805803571428571,0.4711111111111111,3,4,3,0.2499999999999999,ethnic_asian_hispanic
24,0.4746835443037974,1.15,0.1745535714285714,0.4977777777777777,3,4,4,0.275,ethnic_asian_hispanic
27,0.5273972602739726,1.1875,0.1623363095238095,0.4746543778801843,1,4,5,0.3,ethnic_asian_hispanic
34,0.4932432432432432,1.125,0.1828571428571428,0.4654377880184331,4,4,6,0.2499999999999999,ethnic_asian_hispanic
28,0.5310344827586206,1.15,0.1720535714285714,0.490566037735849,4,4,7,0.225,ethnic_asian_hispanic
