clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,step,run_id,scenario
5,0.1935483870967742,2.5,0.3672321428571428,0.8654708520179372,46,9,27,mech_baseline
3,0.2,2.4375,0.3857886904761904,0.8771929824561403,48,17,28,mech_baseline
6,0.2565789473684211,1.85,0.3370684523809523,0.8317757009345794,42,10,29,mech_baseline
3,0.2105263157894736,2.8625,0.3797172619047619,0.8681818181818182,50,15,30,mech_baseline
6,0.2387096774193548,1.95,0.341547619047619,0.8303571428571429,42,11,31,mech_baseline
6,0.2913907284768212,1.975,0.3168898809523809,0.8064516129032258,36,8,32,mech_baseline
7,0.1233766233766233,2.7,0.4085416666666666,0.90625,55,10,33,mech_baseline
3,0.1466666666666666,2.775,0.4024107142857143,0.8914027149321267,54,11,34,mech_baseline
5,0.26,1.825,0.3239285714285714,0.8177570093457944,36,9,35,mech_baseline
3,0.2012987012987013,2.3625,0.3657886904761905,0.8609865470852018,43,13,36,mech_baseline
6,0.2727272727272727,2.1125,0.3272619047619047,0.8285714285714286,41,8,37,mech_baseline
4,0.1527777777777778,2.6,0.3919642857142856,0.892018779342723,54,14,38,mech_baseline
5,0.2795031055900621,2.175,0.3546577380952381,0.8377192982456141,40,8,39,mech_baseline
4,0.0714285714285714,3.45,0.4479464285714286,0.9493087557603688,68,13,40,mech_baseline
5,0.1597222222222222,2.4,0.3870684523809523,0.8785046728971962,50,9,41,mech_baseline
3,0.1987179487179487,2.6375,0.3805654761904762,0.8654708520179372,50,12,42,mech_baseline
4,0.2162162162162162,3.55,0.4084523809523809,0.8909090909090909,55,11,43,mech_baseline
4,0.2266666666666666,2.6625,0.3871428571428571,0.8790697674418605,51,9,44,mech_baseline
3,0.23125,2.8,0.3669940476190476,0.8634361233480177,43,11,45,mech_baseline
2,0.15625,3.1375,0.4106696428571428,0.9026548672566372,61,10,46,mech_baseline
5,0.1944444444444444,2.35,0.3705357142857143,0.8598130841121495,48,10,47,mech_baseline
3,0.0909090909090909,2.9375,0.4255059523809524,0.9269406392694064,60,16,48,mech_baseline
3,0.1712328767123287,2.6375,0.4029613095238095,0.8925233644859814,54,12,49,mech_baseline
5,0.2302631578947368,2.1,0.3617261904761905,0.8486238532110092,45,13,50,mech_baseline
3,0.1623376623376623,2.825,0.4084523809523809,0.8949771689497716,55,11,51,mech_baseline
2,0.0512820512820512,3.425,0.4488988095238095,0.9508928571428572,64,15,52,mech_baseline
6,0.2083333333333333,2.3625,0.357827380952381,0.8558139534883721,44,12,53,mech_baseline
4,0.1208053691275167,3.05,0.4150297619047619,0.916279069767442,57,12,54,mech_baseline
8,0.2397260273972602,2.175,0.3593154761904762,0.8551401869158879,45,15,55,mech_baseline
4,0.1585365853658536,2.6125,0.3819642857142857,0.8846153846153846,52,15,56,mech_baseline
8,0.2222222222222222,2.1,0.3707353827606992,0.8669724770642202,48,11,57,mech_baseline
6,0.2251655629139073,2.3,0.3760714285714286,0.8623853211009175,47,11,58,mech_baseline
4,0.1644736842105263,2.4375,0.3877529761904762,0.8878923766816144,49,19,59,mech_baseline
5,0.2088607594936709,2.25,0.3803422619047619,0.8681818181818182,51,14,60,mech_baseline
5,0.2356687898089172,2.1375,0.3509523809523809,0.8377192982456141,44,10,61,mech_baseline
5,0.2407407407407407,2.1,0.3526934523809523,0.8405172413793104,41,14,62,mech_baseline
5,0.1923076923076923,2.4625,0.3573660714285714,0.8577777777777778,45,10,63,mech_baseline
4,0.1474358974358974,2.4125,0.3892410714285714,0.8959276018099548,54,10,64,mech_baseline
5,0.2533333333333333,2.1,0.3609374999999999,0.8486238532110092,44,15,65,mech_baseline
3,0.1741935483870967,3.2875,0.4124553571428572,0.8977777777777778,57,10,66,mech_baseline
4,0.2094594594594594,2.1125,0.3642410714285714,0.8532110091743119,44,13,67,mech_baseline
5,0.1959459459459459,2.05,0.3488244047619048,0.8465116279069768,36,11,68,mech_baseline
5,0.2251655629139073,2.1875,0.3576190476190476,0.8447488584474886,41,7,69,mech_baseline
4,0.2142857142857142,1.975,0.3621130952380952,0.8525345622119815,46,11,70,mech_baseline
5,0.2327044025157232,2.0375,0.3615922619047619,0.8495575221238938,44,13,71,mech_baseline
3,0.1621621621621621,2.6125,0.4001041666666666,0.8894009216589862,54,11,72,mech_baseline
4,0.131578947368421,2.7875,0.4203720238095238,0.9155555555555556,59,11,73,mech_baseline
4,0.2038216560509554,2.5,0.3886607142857142,0.8722466960352423,50,9,74,mech_baseline
3,0.1558441558441558,2.75,0.3984077380952381,0.8973214285714286,52,18,75,mech_baseline
2,0.1524390243902439,2.975,0.4093452380952381,0.8947368421052632,59,11,76,mech_baseline
5,0.1788079470198675,2.85,0.3973511904761905,0.8944954128440367,53,12,77,mech_baseline
6,0.2697368421052631,1.9625,0.3419494047619048,0.832579185520362,41,11,78,mech_baseline
6,0.3,1.95,0.3003125,0.7954545454545454,34,9,79,mech_baseline
6,0.2578616352201258,1.9125,0.3326934523809524,0.8193832599118943,38,12,80,mech_baseline
5,0.23125,2.0375,0.3613839285714285,0.8464912280701754,43,14,81,mech_baseline
6,0.1493506493506493,3.325,0.4246428571428572,0.9196428571428572,60,11,82,mech_baseline
