run_id,scenario_key,scenario,converged,convergence_step,dissimilarity_index,clusters,switch_rate,distance,mix_deviation,share,ghetto_rate,initial_dissimilarity_index,initial_clusters,initial_switch_rate,initial_distance,initial_mix_deviation,initial_share,initial_ghetto_rate,final_step,n_steps,stop_reason,experiment,llm_model,metrics_source
20,llm_baseline,baseline,True,4.0,0.16249999999999998,68,0.5185185185185185,1.2875,0.17960565476190476,0.5750528541226215,28,0.11875000000000001,88,0.521875,1.178125,0.15890252976190475,0.5160256410256411,10,8,9,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
21,llm_baseline,baseline,True,9.0,0.15625,60,0.47449768160741884,1.4375,0.21336681547619046,0.6169312169312169,55,0.08750000000000002,95,0.4984520123839009,1.165625,0.17831473214285715,0.5042553191489362,12,13,14,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
22,llm_baseline,baseline,True,5.0,0.25,67,0.4494556765163297,1.615625,0.22230654761904764,0.6063492063492063,58,0.18125000000000002,103,0.4606918238993711,1.175,0.1775409226190476,0.5058823529411764,11,9,10,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
23,llm_baseline,baseline,True,17.0,0.2875,43,0.4059259259259259,1.63125,0.24585565476190477,0.6498455200823893,75,0.10625000000000001,98,0.4939209726443769,1.14375,0.1665736607142857,0.4884210526315789,9,21,22,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
24,llm_baseline,baseline,True,10.0,0.23124999999999996,61,0.47533632286995514,1.359375,0.1974813988095238,0.6016343207354443,41,0.14375000000000002,94,0.4791044776119403,1.178125,0.167734375,0.5238095238095238,11,14,15,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
25,llm_baseline,baseline,True,10.0,0.2625,49,0.4591381872213967,1.434375,0.23072916666666665,0.6407867494824017,59,0.175,88,0.49074074074074076,1.190625,0.1879315476190476,0.5289778714436248,14,14,15,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
26,llm_baseline,baseline,True,2.0,0.14375,82,0.4704968944099379,1.303125,0.17029761904761903,0.5562565720294427,32,0.1375,105,0.48043818466353677,1.16875,0.15899925595238093,0.5005268703898841,9,6,7,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
27,llm_baseline,baseline,True,7.0,0.15625,48,0.4672754946727549,1.40625,0.20684895833333333,0.6240837696335079,43,0.1,80,0.5007824726134585,1.178125,0.17068824404761904,0.5095744680851064,6,11,12,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
28,llm_baseline,baseline,True,8.0,0.20625,57,0.47703703703703704,1.403125,0.1944159226190476,0.5805785123966942,42,0.1375,94,0.5242424242424243,1.109375,0.1557105654761905,0.46764091858037576,1,12,13,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
29,llm_baseline,baseline,True,9.0,0.2625,50,0.4008941877794337,1.625,0.2439769345238095,0.6557040082219938,71,0.1375,84,0.4555052790346908,1.1875,0.19140625,0.5335429769392034,14,13,14,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
30,llm_baseline,baseline,True,10.0,0.125,65,0.45864661654135336,1.384375,0.20813244047619048,0.5991605456453305,43,0.1,97,0.48059701492537316,1.171875,0.1637127976190476,0.49373695198329853,7,14,15,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
31,llm_baseline,baseline,True,12.0,0.23124999999999998,61,0.4785276073619632,1.353125,0.19350446428571427,0.5960125918153201,34,0.125,99,0.4840182648401826,1.146875,0.1668340773809524,0.49269311064718163,8,16,17,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
32,llm_baseline,baseline,True,8.0,0.21250000000000002,47,0.44113263785394935,1.43125,0.22717261904761904,0.649740932642487,58,0.16249999999999998,90,0.45622119815668205,1.190625,0.18597470238095237,0.5211864406779662,13,12,13,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
33,llm_baseline,baseline,True,13.0,0.07499999999999998,58,0.489766081871345,1.303125,0.18218377976190475,0.5842812823164426,37,0.10000000000000002,85,0.4909365558912387,1.190625,0.16859002976190476,0.5052301255230126,15,17,18,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
34,llm_baseline,baseline,True,5.0,0.15000000000000002,60,0.48868778280542985,1.39375,0.1980171130952381,0.6075550891920252,47,0.13125,98,0.508500772797527,1.15,0.16924107142857142,0.4919786096256685,9,9,10,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
35,llm_baseline,baseline,True,5.0,0.10624999999999998,72,0.5144157814871017,1.253125,0.17438988095238095,0.553213909378293,30,0.11249999999999998,93,0.49697885196374625,1.14375,0.15364955357142857,0.48523206751054854,7,9,10,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
36,llm_baseline,baseline,True,8.0,0.19374999999999998,55,0.4523809523809524,1.4125,0.2041555059523809,0.6039094650205762,47,0.125,83,0.48619631901840493,1.190625,0.17386532738095237,0.5204616998950682,9,12,13,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
37,llm_baseline,baseline,True,9.0,0.175,51,0.5074183976261127,1.36875,0.19179315476190478,0.5905834186284544,38,0.08750000000000002,85,0.5402843601895735,1.175,0.16748883928571429,0.5,14,13,14,converged,llm_baseline_20260906_003733,gemma-4-31b-vf-lp,live
